SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
522134,ARTSON ENG  ,X ,Q,87.35,87.35,83.35,85.2,85.25,84.85,51,9021,763768,
522152,SOLITAIR MC ,X ,Q,75.9,89,71.1,84.8,84.8,75.25,488,67945,5511088,
522163,DIAMONPOWER ,B ,Q,13.9,13.9,13.35,13.45,13.5,13.65,162,19959,270565,
522165,INDSIL HYD  ,X ,Q,190,190,185.55,187.95,187.5,189,71,6648,1254835,
522183,ITL INDUSTRS,X ,Q,303,309,296,296.85,297,297.5,85,5747,1725300,
522195,FRONTIER SPR,X ,Q,180.8,184.85,180.8,182.85,182,184.6,26,1380,252271,
522205,PRAJ IND.LTD,A ,Q,92,94.4,92,92.65,92.65,90.3,2050,271802,25345455,
522207,RASANDIK ENG,XT,Q,193,200.9,182.4,183.85,182.4,192,42,12383,2413476,
522209,YOGI SUNGWON,XT,Q,2.02,2.22,2.02,2.22,2.22,2.12,10,3200,6704,
522215,SWISS GLASS ,X ,Q,183.1,190,176,186.8,186.8,188.15,74,2805,511823,
522217,GUJ APOIND  ,B ,Q,223.9,227,223.9,224.65,224,223.6,14,376,84445,
522229,TANEJA AERO.,X ,Q,55,56.5,54.45,54.9,54.55,54.95,129,38313,2123421,
522231,CONART ENG. ,X ,Q,44.9,45,44,45,45,44.75,24,1071,47268,
